Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa
81,-0.37911618,0.0015817076,-0.37911615,-0.03933074,-0.15166195,-0.029440604,-0.37392303,0.0015817076,-0.37392303,-0.06403047,-0.34708542,0.024218664
82,-0.37916315,0.0015817076,-0.37916312,-0.039264027,-0.15160349,-0.02933496,-0.37397316,0.0015817076,-0.37397316,-0.06414201,-0.3470757,0.024204748
83,-0.3790833,0.0015817076,-0.37908328,-0.03912982,-0.15151957,-0.029536719,-0.37390193,0.0015817076,-0.37390193,-0.064217806,-0.34707958,0.02395797
84,-0.37915403,0.0015817076,-0.379154,-0.038945436,-0.15154871,-0.029344901,-0.37398463,0.0015817076,-0.37398463,-0.06418955,-0.34718987,0.024179064
85,-0.37915844,0.0015817076,-0.3791584,-0.038832065,-0.15151441,-0.029473808,-0.37399614,0.0015817076,-0.37399614,-0.064238936,-0.34722167,0.024045752
86,-0.37916318,0.0015817076,-0.37916315,-0.038663156,-0.15152699,-0.029434396,-0.37401226,0.0015817076,-0.37401226,-0.064224996,-0.34732294,0.024220344
87,-0.37909377,0.0015817076,-0.37909374,-0.038531028,-0.15150158,-0.02956484,-0.373952,0.0015817076,-0.373952,-0.06422658,-0.34733593,0.024142483
88,-0.37908348,0.0015817076,-0.37908345,-0.038455497,-0.15143542,-0.029531384,-0.37394595,0.0015817076,-0.37394595,-0.0643114,-0.34733352,0.024100188
89,-0.37912184,0.0015817076,-0.3791218,-0.03842913,-0.15136087,-0.029420743,-0.37398478,0.0015817076,-0.37398478,-0.06442954,-0.3473008,0.024136009
90,-0.3791143,0.0015817076,-0.37911427,-0.03837195,-0.1513128,-0.029480752,-0.37398055,0.0015817076,-0.37398055,-0.06449406,-0.3472799,0.02404399
91,-0.37915197,0.0015817076,-0.37915194,-0.038256817,-0.15132353,-0.029378874,-0.37402567,0.0015817076,-0.37402567,-0.06448973,-0.3473401,0.0241419
92,-0.3791467,0.0015817076,-0.37914667,-0.038165815,-0.15129378,-0.029389704,-0.37402612,0.0015817076,-0.37402612,-0.06452163,-0.3473644,0.024126949
93,-0.3791457,0.0015817076,-0.37914568,-0.038100984,-0.15126435,-0.02950967,-0.374029,0.0015817076,-0.374029,-0.064560495,-0.34736466,0.023981012
94,-0.3792245,0.0015817076,-0.37922448,-0.037999056,-0.15128465,-0.029381394,-0.37411407,0.0015817076,-0.37411407,-0.064563796,-0.34745213,0.024133034
95,-0.37924102,0.0015817076,-0.379241,-0.03789943,-0.151303,-0.02942272,-0.37413725,0.0015817076,-0.37413725,-0.064544685,-0.3475021,0.0241091
