Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa
53,-0.20311317,0.0015817076,-0.20311317,0.08240771,-0.09702867,0.001984574,-0.2042358,0.0015817076,-0.20423576,0.13730736,-0.12126665,0.014683118,-0.2035679,0.0015817076,-0.2035679,0.1815336,-0.13774903,0.0081908945
54,-0.17930432,0.0015817076,-0.17930432,0.078110255,-0.115270264,0.0037122741,-0.18023604,0.0015817076,-0.180236,0.1429699,-0.13816376,0.01620885,-0.17962734,0.0015817076,-0.17962734,0.19709577,-0.14573723,0.009666943
55,-0.18141152,0.0015817076,-0.18141152,0.067867026,-0.11832958,0.0044540977,-0.18213049,0.0015817076,-0.18213044,0.13248979,-0.14478606,0.016863868,-0.181271,0.0015817076,-0.181271,0.196781,-0.15132058,0.010300715
56,-0.18105468,0.0015817076,-0.18105468,0.063971594,-0.1029659,0.004772128,-0.18204412,0.0015817076,-0.18204407,0.11805796,-0.13510633,0.017144598,-0.18131353,0.0015817076,-0.18131351,0.18516394,-0.14878316,0.01057239
57,-0.17446029,0.0015817076,-0.17446029,0.068940945,-0.10586877,0.0056837806,-0.1755917,0.0015817076,-0.17559166,0.12441427,-0.13755459,0.0183274,-0.17504296,0.0015817076,-0.17504294,0.19213521,-0.15049112,0.011233633
58,-0.16971102,0.0015817076,-0.16971101,0.07048361,-0.1170319,0.0056948336,-0.17081346,0.0015817076,-0.17081341,0.13220128,-0.1479129,0.019061394,-0.17030573,0.0015817076,-0.17030571,0.20489997,-0.15679817,0.011019074
59,-0.16994217,0.0015817076,-0.16994216,0.062204316,-0.11200152,0.00569876,-0.1709377,0.0015817076,-0.17093766,0.11945208,-0.14822263,0.019376196,-0.17013423,0.0015817076,-0.17013422,0.20079601,-0.16087456,0.010926049
60,-0.17741501,0.0015817076,-0.177415,0.050532307,-0.114189975,0.0035105846,-0.17803414,0.0015817076,-0.1780341,0.10735645,-0.15516207,0.017473754,-0.1766506,0.0015817076,-0.17665058,0.20063877,-0.16862199,0.00817762
61,-0.18935438,0.0015817076,-0.18935436,0.05464809,-0.10629755,0.0011015862,-0.19022864,0.0015817076,-0.1902286,0.10678273,-0.14892332,0.01527627,-0.18903002,0.0015817076,-0.18903,0.19747636,-0.16874781,0.0047384887
62,-0.19678304,0.0015817076,-0.19678302,0.062687755,-0.10422075,0.0016155753,-0.19793193,0.0015817076,-0.19793189,0.11477281,-0.14541468,0.01576485,-0.1970848,0.0015817076,-0.19708478,0.19991034,-0.16786626,0.0029901832
63,-0.20561883,0.0015817076,-0.20561881,0.06905547,-0.10554483,0.00031919708,-0.20693576,0.0015817076,-0.20693572,0.12299157,-0.14495331,0.014403816,-0.20634091,0.0015817076,-0.2063409,0.20394368,-0.16729973,0.00028745018
64,-0.20225015,0.0015817076,-0.20225014,0.07014868,-0.099411294,0.0018619893,-0.20371449,0.0015817076,-0.20371445,0.120557584,-0.13997695,0.015830966,-0.20323484,0.0015817076,-0.20323482,0.20016931,-0.16641648,0.0010467203
65,-0.19441806,0.0015817076,-0.19441804,0.072297946,-0.10040941,0.0023482016,-0.19591929,0.0015817076,-0.19591925,0.12380171,-0.14019912,0.016168583,-0.19553256,0.0015817076,-0.19553255,0.20269018,-0.1661384,0.0016749685
